rank,node_id,influence,influence_normalised,row_sum_diagnostic,most_influenced_nodes
1,9,3.6513579275633674,1.0,1.0000002944871085,"node 176 (w=0.241), node 148 (w=0.125), node 122 (w=0.121)"
2,35,3.1376192940369947,0.8593020340054139,1.0000000149011612,"node 136 (w=0.115), node 93 (w=0.104), node 107 (w=0.085)"
3,183,2.7454513707198203,0.751898725127701,1.0000000967411324,"node 107 (w=0.144), node 166 (w=0.101), node 99 (w=0.086)"
4,6,2.5783024036791176,0.7061215183031033,0.9999999771825969,"node 149 (w=0.155), node 119 (w=0.123), node 97 (w=0.104)"
5,28,2.437179554894101,0.6674721030486555,1.0000001018925104,"node 108 (w=0.097), node 201 (w=0.091), node 183 (w=0.062)"
6,64,2.423795899376273,0.6638067117659228,1.0000001833541319,"node 108 (w=0.088), node 183 (w=0.067), node 201 (w=0.064)"
7,200,2.3434172709530685,0.6417933594685644,0.9999999273568392,"node 99 (w=0.073), node 90 (w=0.072), node 44 (w=0.069)"
8,177,2.2489543380506802,0.6159227286576798,0.9999999734573066,"node 196 (w=0.141), node 151 (w=0.120), node 156 (w=0.119)"
9,40,2.233921201870544,0.6118055929294473,0.9999999288702384,"node 9 (w=0.095), node 77 (w=0.082), node 28 (w=0.081)"
10,90,2.069101652770769,0.5666663454578189,1.000000171130523,"node 28 (w=0.054), node 92 (w=0.049), node 67 (w=0.049)"
11,185,2.0423309397301637,0.5593346311828313,0.999999901978299,"node 176 (w=0.085), node 28 (w=0.080), node 122 (w=0.056)"
12,92,2.037033505155705,0.5578838189974608,1.0000000311410986,"node 107 (w=0.072), node 99 (w=0.059), node 67 (w=0.055)"
13,29,1.9706223002867773,0.5396957349513576,0.9999998821876943,"node 56 (w=0.165), node 84 (w=0.085), node 51 (w=0.076)"
14,197,1.963397177067236,0.5377169853018093,1.000000113621354,"node 56 (w=0.173), node 196 (w=0.148), node 84 (w=0.110)"
15,84,1.9564080884447321,0.5358028786157064,0.9999999466235749,"node 77 (w=0.235), node 102 (w=0.093), node 56 (w=0.078)"
